Model,Parameters,R²,p-value,Slope,Intercept,Grade Span,n
Granite 4.0 Micro,400M,0.3934,9.37×10^-5,4.061,20.80,32.5,33
Qwen 3 0.6B,625M,0.3619,2.13×10^-4,1.794,11.84,14.4,33
Llama 3.2 1B Instruct,1.2B,0.1851,0.0125,3.698,17.42,29.6,33
Qwen 3 1.7B,2.0B,0.6770,4.22×10^-9,1.713,10.34,13.7,33
Llama 3.2 3B Instruct,3.2B,0.0251,0.3788,1.998,26.77,16.0,33
Phi-3 Mini 4K Instruct,3.8B,0.5692,4.48×10^-8,1.901,16.17,7.0,38
Gemma 3 4B IT,4.0B,0.8485,3.04×10^-14,0.931,10.54,7.4,33
Qwen 3 4B Instruct,4.3B,0.8963,<1×10⁻¹⁵,1.283,11.92,10.3,33
